Method,Split,P@0.5%,R@0.5%,F1@0.5%,P@1.0%,R@1.0%,F1@1.0%,P@2.0%,R@2.0%,F1@2.0%,MPE(%w)
A: Arnav Canon.,test,0.2514,0.2263,0.2382,0.4236,0.3812,0.4013,0.6056,0.545,0.5737,1.298
A: Arnav Canon.,valid,0.2127,0.1916,0.2016,0.3873,0.3489,0.3671,0.5924,0.5336,0.5615,1.388
B: PCA + Warp,test,0.4167,0.375,0.3947,0.6375,0.5737,0.6039,0.8417,0.7575,0.7974,0.774
B: PCA + Warp,valid,0.4114,0.3706,0.3899,0.6335,0.5707,0.6005,0.8487,0.7645,0.8044,0.804
C: PCA (no warp),test,0.3786,0.3412,0.359,0.5922,0.5337,0.5615,0.8252,0.7438,0.7824,0.845
C: PCA (no warp),valid,0.3735,0.3375,0.3546,0.588,0.5314,0.5583,0.8208,0.7417,0.7793,0.875
D: Paleari&Huet,test,0.3227,0.215,0.2581,0.5647,0.3762,0.4516,0.6792,0.4525,0.5431,0.889
D: Paleari&Huet,valid,0.311,0.2144,0.2538,0.5393,0.3717,0.4401,0.6691,0.4612,0.5461,0.952
E: Paleari Ref.,test,0.3686,0.2437,0.2935,0.5766,0.3812,0.459,0.6919,0.4575,0.5508,0.902
E: Paleari Ref.,valid,0.3561,0.2412,0.2876,0.5623,0.3808,0.4541,0.6911,0.4681,0.5581,0.933
F: Hybrid,test,0.5274,0.2288,0.3191,0.732,0.3175,0.4429,0.8415,0.365,0.5092,0.738
F: Hybrid,valid,0.4824,0.2896,0.362,0.6629,0.3979,0.4973,0.7873,0.4726,0.5907,0.702
YOLO: A: Arnav Canon.,test,0.2543,0.2225,0.2373,0.4229,0.37,0.3947,0.6329,0.5537,0.5907,1.257
YOLO: A: Arnav Canon.,valid,0.2526,0.2189,0.2346,0.3934,0.3409,0.3653,0.6079,0.5268,0.5644,1.263
YOLO: B: PCA + Warp,test,0.4257,0.3725,0.3973,0.6786,0.5938,0.6333,0.8643,0.7562,0.8067,0.788
YOLO: B: PCA + Warp,valid,0.4289,0.3717,0.3983,0.6467,0.5604,0.6005,0.8612,0.7463,0.7996,0.823
YOLO: C: PCA (no warp),test,0.4174,0.3663,0.3901,0.6809,0.5975,0.6365,0.8519,0.7475,0.7963,0.762
YOLO: C: PCA (no warp),valid,0.394,0.3421,0.3662,0.6605,0.5735,0.614,0.8385,0.7281,0.7794,0.821
YOLO: D: Paleari&Huet,test,0.3315,0.2238,0.2672,0.5667,0.3825,0.4567,0.6944,0.4688,0.5597,0.843
YOLO: D: Paleari&Huet,valid,0.3373,0.2241,0.2693,0.5742,0.3814,0.4584,0.6901,0.4584,0.5509,0.885
YOLO: E: Paleari Ref.,test,0.3579,0.2425,0.2891,0.5627,0.3812,0.4545,0.6919,0.4688,0.5589,0.899
YOLO: E: Paleari Ref.,valid,0.3421,0.236,0.2794,0.5455,0.3763,0.4453,0.676,0.4664,0.552,0.903
YOLO: F: Hybrid,test,0.5784,0.2213,0.3201,0.7353,0.2812,0.4069,0.8529,0.3262,0.472,0.735
YOLO: F: Hybrid,valid,0.5526,0.2605,0.3541,0.7352,0.3466,0.4711,0.8561,0.4036,0.5486,0.679
